,title,body,user
3495,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
3496,Bien pero...,"La exposición muy bien, lo que esperaba.. dura como 20 min .. comienza a los :00 y :30, cada hora, y hacen dos diferentes, así qué hay que estar ahí 1 hr para ver todo. Lo único malo fue la atención, se nota que ya están artos de tanta gente .. ",Sieresobesoapechugas
3497,Impresionante ,"Acudí movido por las opiniones que había leído al respecto y no me defraudó. La única pega que le pongo es que al permitir la entrada del público en cualquier momento, se producen algunas distracciones que dificultan la inmersión. También, aunque creo que lo ideal es disfrutar caminando por la sala, se dificulta esto por las distracciones de los niños correteando por la sala (esto n9 es culpa de la organización sino de los padres de los mismos)En definitiva, muy recomendable aunque yo pondría un límite para no permitir entrar mientras se está desarrollando la exhibición ",GonzaloS
3498,Una experiencia diferente,"Para tener una experiencia de arte diferente y contemporánea, este es el lugar. La percepción que se puede tener al ver las obras de artistas como Van Gogh proyectadas en una escala a la que no estamos acostumbrados a ver, es una inmersión diferente en el arte. El acompañamiento de música y un amplio espacio hace de la exposición algo original. Puede llegar todo tipo de público interesado en los artistas expuestos, desde niños hasta gente mayor. Hay espacio para sentarse, para ver desde arriba, en un cuarto de espejos, tirado en el suelo o corriendo alrededor como lo hacen algunos niños. Vale la pena verla.",bako1973
3499,Espectacular!!!!!,"Tenía programada visita a Paris para las fechas en que estaba la exibición de la obra de Van Gogh y por supuesto la aproveché. Como sorpresa llevamos allí a unas familiarias que no tenían ni idea de lo que iban a ver y quedaron aún más maravilladas que nosotoros. La atención de la sale estupenda, llegamos con un poco de antelación y nos dejaron pasar sin problema y tampoco te ponían un tiempo límite para salir. El recinto dispone de taquillas gratuitas para que no estes cargando con los abrigos. La exposición espectacular, todos quedamos encantados, si tenéis ocasión no la desaprovechéis.",Carolina G
3500,EXHIBICIÓN MUY DIFERENTE DE LA OBRA DE VAN GOGH,Un lugar excelente para presentaciones muy diferentes. Situado en sector céntrico. Las exhibiciones de los diferentes artistas se aprecian de forma única y agradable.,Natàlia Q
3501,Alucinante muestra inmersiva," Una muestra inmersiva alucinante, con imágenes de las obras de Van Gogh que evolucionan a partir de una música impactante. Eriza la piel y es una manera diferente de acercarse a las obras de grandes artistas.",L&L75
3502,Importante centro artístico,"El Atelier des Lumiere está situado entre La Bastille y Nation es una anciana fábrica en el 10 arrondissement. Se exponen exposiciones monumentales con videoproyecciones y sonidos Este año fue dedicado a Van Gogh excelente y majestuoso.Un momento maravilloso apreciar la obra de este excelente pintor, en este tipo de manifestación con vídeo proyecciones y una sonorización única.Lo recomiendo es imperdible.",erica vera
3503,Muestra Klimt,"Me encanto! Una muestra distinta, proyección de las obras de Klimt y Schielle. Muy buena calidad. Muy fácil llegar con el metro.",Ana Maria V
3504,Increíble experiencia,"Totalmente inmersivo, vives el arte de manera poco convencional y ahí es donde está la maravilla de este lugar, sublime combinación entre lo visual y lo auditivo.",Florencia P
3505,"Atelier des Lumières,,, sublime!!","Arte inmersivo, maravilloso! Estuve en la exposición de Van Gogh, simplemente fue maravillosa, el sonido te envuelve y la forma como le dieron vida a las pinturas fue maravillosa, estando dentro, no se puede elegir un lugar fijo para admirarlo todo, imposible, es mejor caminar por todo el lugar para apreciar cada proyección en cada rincón, en los muros en el piso, incluso en dos pequeñas albercas que también proyectan imágenes. Lo recomiendo ampliamente en su visita a París!",Gabriel l
3506,Una maravilla,"Preciosa experiencia. No estaba muy convencida al principio, pero lo cierto es que logran hacer una exposición muy dinámica, envolvente e interesante. Si vuelvo por París sin duda volveré.",Tris Mabel
3507,Quedé maravillado!,"Asistí al espectáculo ""La nuit étoilée"" sobre Vincent van Gogh. Qué maravilla! 32 minutos inmerso en el mundo de este increíble artista. La experiencia asombra, maravilla, instruye y emociona. Es única y difícil de describir.La venta de entradas se hace exclusivamente por Internet, ya que se necesita una franja horaria para visitar el espacio. ",errthu
3508,Muy buena experiencia para los sentidos,"El lugar está muy bien, la muestra que vimos fué la de Vincent van Gogh. Es un experiencia única, muy linda. La música, la calidad de las imágenes, está todo muy bien. Los chicos también lo disfrutan que no es menor. Les recomiendo que se cambien de lugar cada tanto ya que cambia la perceptiva y no dejen de ir a la parte superior ya que se aprecia de una forma bastante distinta. En resumen muy bueno.",ctaracena
3509,Muy lindo pero falta organización! ,"Me gusto mucho el show, pero no pude disfrutarlo del todo porque había demasiada gente. No se respeta el horario del ticket, por ende se superponen los grupos. Todos están sentados y tapan las proyecciones, no se puede hacer caminando porque está obstaculizado el paso ",eap990
3510,"Un gran cine, al fin y al cabo","Es una única pero enorme sala de techos altos donde proyectan de manera ininterrumpida imágenes de cuadros, sobretodo impresionistas, a ritmo de la música.  Dura unos 40-45 minutos más o menos. La reacción inicial es de sorpresa y maravilla. Es muy impresionante verse envuelto de luces preciosas por todos lados. Sin embargo, al cabo del rato se hace un poco pobre y repetitivo. Te relajas tanto que yo y mi hijo nos dormimos unos segundos. Seguro que no fuimos los únicos. Debería haber más salas o un itinerario definido para irse moviendo. En cambio, la gente acaba sentándose donde puede y mirando la proyección, como si fuera un cine Imax. No está mal, pero me pareció desaprovechado.",pedro jose c
3511,Visita decepcionante,"La idea es buena, la técnica de proyeccion de las imagenes de cuadros es impresionante y la musica muy agradable.Podria haber sido una experiencia muy agradable y no lo fue por una mala organización.Si hay una reserva horaria porque no se vacia la sala? En epoca de post-confinamiento esperabamos encontrarnos con mucha menos gente. La gente se queda de una proyeccion a la siguiente. La direccion podria exigir que la sala se vacie cada hora y seria mucho mas agradable para todos.Y otra posibilidad de mejora seria la opcion con niños y sin niños. O con niños mayores de una cierta edad (por ej:10 años). Para mi fue muy desagradable aguantar los niños bailando y gritando a mi alrededor que no me permitieron disfrutar de la musica. Hay carteles donde se precisa que hay que guardar silencio y no se permite comer dentro y ninguna de las dos cosas fueron respetadas por los grupos de padres con niños.Una pena!",marcela256
3512,Wow,"Muy lindo y  diferente admirar el arte de otra manera.Buena experiencia para los niños, el movimiento y las luces lo hacen muy divertido",MarisaTortugas
3513,El oro de klimt,"Si quereis conocer al pintor y su obra , buscar en internet , se aprende mas . Exposicion pobre , mucho bombo a unos pocos cuadros y omision total al resto. No encontre mis cuadros preferidos.Lo mejor la música.Decepcion absoluta",Marian
3514,Maravilloso!,"Visité la muestra de Van Gogh junto a mi hijo de 9 años. Simplemente maravillosa! La disfrutamos mucho en un ambiente distendido, inmersivo, con imágenes y música geniales. Sin dudas, no se lo pierdan! Eso si, vayan con tiempo; vale la pena!",aandrade
3515,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
3516,Bien pero...,"La exposición muy bien, lo que esperaba.. dura como 20 min .. comienza a los :00 y :30, cada hora, y hacen dos diferentes, así qué hay que estar ahí 1 hr para ver todo. Lo único malo fue la atención, se nota que ya están artos de tanta gente .. ",Sieresobesoapechugas
3517,Impresionante ,"Acudí movido por las opiniones que había leído al respecto y no me defraudó. La única pega que le pongo es que al permitir la entrada del público en cualquier momento, se producen algunas distracciones que dificultan la inmersión. También, aunque creo que lo ideal es disfrutar caminando por la sala, se dificulta esto por las distracciones de los niños correteando por la sala (esto n9 es culpa de la organización sino de los padres de los mismos)En definitiva, muy recomendable aunque yo pondría un límite para no permitir entrar mientras se está desarrollando la exhibición ",GonzaloS
3518,Una experiencia diferente,"Para tener una experiencia de arte diferente y contemporánea, este es el lugar. La percepción que se puede tener al ver las obras de artistas como Van Gogh proyectadas en una escala a la que no estamos acostumbrados a ver, es una inmersión diferente en el arte. El acompañamiento de música y un amplio espacio hace de la exposición algo original. Puede llegar todo tipo de público interesado en los artistas expuestos, desde niños hasta gente mayor. Hay espacio para sentarse, para ver desde arriba, en un cuarto de espejos, tirado en el suelo o corriendo alrededor como lo hacen algunos niños. Vale la pena verla.",bako1973
3519,Espectacular!!!!!,"Tenía programada visita a Paris para las fechas en que estaba la exibición de la obra de Van Gogh y por supuesto la aproveché. Como sorpresa llevamos allí a unas familiarias que no tenían ni idea de lo que iban a ver y quedaron aún más maravilladas que nosotoros. La atención de la sale estupenda, llegamos con un poco de antelación y nos dejaron pasar sin problema y tampoco te ponían un tiempo límite para salir. El recinto dispone de taquillas gratuitas para que no estes cargando con los abrigos. La exposición espectacular, todos quedamos encantados, si tenéis ocasión no la desaprovechéis.",Carolina G
3520,EXHIBICIÓN MUY DIFERENTE DE LA OBRA DE VAN GOGH,Un lugar excelente para presentaciones muy diferentes. Situado en sector céntrico. Las exhibiciones de los diferentes artistas se aprecian de forma única y agradable.,Natàlia Q
3521,Alucinante muestra inmersiva," Una muestra inmersiva alucinante, con imágenes de las obras de Van Gogh que evolucionan a partir de una música impactante. Eriza la piel y es una manera diferente de acercarse a las obras de grandes artistas.",L&L75
3522,Importante centro artístico,"El Atelier des Lumiere está situado entre La Bastille y Nation es una anciana fábrica en el 10 arrondissement. Se exponen exposiciones monumentales con videoproyecciones y sonidos Este año fue dedicado a Van Gogh excelente y majestuoso.Un momento maravilloso apreciar la obra de este excelente pintor, en este tipo de manifestación con vídeo proyecciones y una sonorización única.Lo recomiendo es imperdible.",erica vera
3523,Muestra Klimt,"Me encanto! Una muestra distinta, proyección de las obras de Klimt y Schielle. Muy buena calidad. Muy fácil llegar con el metro.",Ana Maria V
3524,Increíble experiencia,"Totalmente inmersivo, vives el arte de manera poco convencional y ahí es donde está la maravilla de este lugar, sublime combinación entre lo visual y lo auditivo.",Florencia P
3525,"Atelier des Lumières,,, sublime!!","Arte inmersivo, maravilloso! Estuve en la exposición de Van Gogh, simplemente fue maravillosa, el sonido te envuelve y la forma como le dieron vida a las pinturas fue maravillosa, estando dentro, no se puede elegir un lugar fijo para admirarlo todo, imposible, es mejor caminar por todo el lugar para apreciar cada proyección en cada rincón, en los muros en el piso, incluso en dos pequeñas albercas que también proyectan imágenes. Lo recomiendo ampliamente en su visita a París!",Gabriel l
3526,Una maravilla,"Preciosa experiencia. No estaba muy convencida al principio, pero lo cierto es que logran hacer una exposición muy dinámica, envolvente e interesante. Si vuelvo por París sin duda volveré.",Tris Mabel
3527,Quedé maravillado!,"Asistí al espectáculo ""La nuit étoilée"" sobre Vincent van Gogh. Qué maravilla! 32 minutos inmerso en el mundo de este increíble artista. La experiencia asombra, maravilla, instruye y emociona. Es única y difícil de describir.La venta de entradas se hace exclusivamente por Internet, ya que se necesita una franja horaria para visitar el espacio. ",errthu
3528,Muy buena experiencia para los sentidos,"El lugar está muy bien, la muestra que vimos fué la de Vincent van Gogh. Es un experiencia única, muy linda. La música, la calidad de las imágenes, está todo muy bien. Los chicos también lo disfrutan que no es menor. Les recomiendo que se cambien de lugar cada tanto ya que cambia la perceptiva y no dejen de ir a la parte superior ya que se aprecia de una forma bastante distinta. En resumen muy bueno.",ctaracena
3529,Muy lindo pero falta organización! ,"Me gusto mucho el show, pero no pude disfrutarlo del todo porque había demasiada gente. No se respeta el horario del ticket, por ende se superponen los grupos. Todos están sentados y tapan las proyecciones, no se puede hacer caminando porque está obstaculizado el paso ",eap990
3530,"Un gran cine, al fin y al cabo","Es una única pero enorme sala de techos altos donde proyectan de manera ininterrumpida imágenes de cuadros, sobretodo impresionistas, a ritmo de la música.  Dura unos 40-45 minutos más o menos. La reacción inicial es de sorpresa y maravilla. Es muy impresionante verse envuelto de luces preciosas por todos lados. Sin embargo, al cabo del rato se hace un poco pobre y repetitivo. Te relajas tanto que yo y mi hijo nos dormimos unos segundos. Seguro que no fuimos los únicos. Debería haber más salas o un itinerario definido para irse moviendo. En cambio, la gente acaba sentándose donde puede y mirando la proyección, como si fuera un cine Imax. No está mal, pero me pareció desaprovechado.",pedro jose c
3531,Visita decepcionante,"La idea es buena, la técnica de proyeccion de las imagenes de cuadros es impresionante y la musica muy agradable.Podria haber sido una experiencia muy agradable y no lo fue por una mala organización.Si hay una reserva horaria porque no se vacia la sala? En epoca de post-confinamiento esperabamos encontrarnos con mucha menos gente. La gente se queda de una proyeccion a la siguiente. La direccion podria exigir que la sala se vacie cada hora y seria mucho mas agradable para todos.Y otra posibilidad de mejora seria la opcion con niños y sin niños. O con niños mayores de una cierta edad (por ej:10 años). Para mi fue muy desagradable aguantar los niños bailando y gritando a mi alrededor que no me permitieron disfrutar de la musica. Hay carteles donde se precisa que hay que guardar silencio y no se permite comer dentro y ninguna de las dos cosas fueron respetadas por los grupos de padres con niños.Una pena!",marcela256
3532,Wow,"Muy lindo y  diferente admirar el arte de otra manera.Buena experiencia para los niños, el movimiento y las luces lo hacen muy divertido",MarisaTortugas
3533,El oro de klimt,"Si quereis conocer al pintor y su obra , buscar en internet , se aprende mas . Exposicion pobre , mucho bombo a unos pocos cuadros y omision total al resto. No encontre mis cuadros preferidos.Lo mejor la música.Decepcion absoluta",Marian
3534,Maravilloso!,"Visité la muestra de Van Gogh junto a mi hijo de 9 años. Simplemente maravillosa! La disfrutamos mucho en un ambiente distendido, inmersivo, con imágenes y música geniales. Sin dudas, no se lo pierdan! Eso si, vayan con tiempo; vale la pena!",aandrade
3535,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
3536,Bien pero...,"La exposición muy bien, lo que esperaba.. dura como 20 min .. comienza a los :00 y :30, cada hora, y hacen dos diferentes, así qué hay que estar ahí 1 hr para ver todo. Lo único malo fue la atención, se nota que ya están artos de tanta gente .. ",Sieresobesoapechugas
3537,Impresionante ,"Acudí movido por las opiniones que había leído al respecto y no me defraudó. La única pega que le pongo es que al permitir la entrada del público en cualquier momento, se producen algunas distracciones que dificultan la inmersión. También, aunque creo que lo ideal es disfrutar caminando por la sala, se dificulta esto por las distracciones de los niños correteando por la sala (esto n9 es culpa de la organización sino de los padres de los mismos)En definitiva, muy recomendable aunque yo pondría un límite para no permitir entrar mientras se está desarrollando la exhibición ",GonzaloS
3538,Una experiencia diferente,"Para tener una experiencia de arte diferente y contemporánea, este es el lugar. La percepción que se puede tener al ver las obras de artistas como Van Gogh proyectadas en una escala a la que no estamos acostumbrados a ver, es una inmersión diferente en el arte. El acompañamiento de música y un amplio espacio hace de la exposición algo original. Puede llegar todo tipo de público interesado en los artistas expuestos, desde niños hasta gente mayor. Hay espacio para sentarse, para ver desde arriba, en un cuarto de espejos, tirado en el suelo o corriendo alrededor como lo hacen algunos niños. Vale la pena verla.",bako1973
3539,Espectacular!!!!!,"Tenía programada visita a Paris para las fechas en que estaba la exibición de la obra de Van Gogh y por supuesto la aproveché. Como sorpresa llevamos allí a unas familiarias que no tenían ni idea de lo que iban a ver y quedaron aún más maravilladas que nosotoros. La atención de la sale estupenda, llegamos con un poco de antelación y nos dejaron pasar sin problema y tampoco te ponían un tiempo límite para salir. El recinto dispone de taquillas gratuitas para que no estes cargando con los abrigos. La exposición espectacular, todos quedamos encantados, si tenéis ocasión no la desaprovechéis.",Carolina G
3540,EXHIBICIÓN MUY DIFERENTE DE LA OBRA DE VAN GOGH,Un lugar excelente para presentaciones muy diferentes. Situado en sector céntrico. Las exhibiciones de los diferentes artistas se aprecian de forma única y agradable.,Natàlia Q
3541,Alucinante muestra inmersiva," Una muestra inmersiva alucinante, con imágenes de las obras de Van Gogh que evolucionan a partir de una música impactante. Eriza la piel y es una manera diferente de acercarse a las obras de grandes artistas.",L&L75
3542,Importante centro artístico,"El Atelier des Lumiere está situado entre La Bastille y Nation es una anciana fábrica en el 10 arrondissement. Se exponen exposiciones monumentales con videoproyecciones y sonidos Este año fue dedicado a Van Gogh excelente y majestuoso.Un momento maravilloso apreciar la obra de este excelente pintor, en este tipo de manifestación con vídeo proyecciones y una sonorización única.Lo recomiendo es imperdible.",erica vera
3543,Muestra Klimt,"Me encanto! Una muestra distinta, proyección de las obras de Klimt y Schielle. Muy buena calidad. Muy fácil llegar con el metro.",Ana Maria V
3544,Increíble experiencia,"Totalmente inmersivo, vives el arte de manera poco convencional y ahí es donde está la maravilla de este lugar, sublime combinación entre lo visual y lo auditivo.",Florencia P
3545,"Atelier des Lumières,,, sublime!!","Arte inmersivo, maravilloso! Estuve en la exposición de Van Gogh, simplemente fue maravillosa, el sonido te envuelve y la forma como le dieron vida a las pinturas fue maravillosa, estando dentro, no se puede elegir un lugar fijo para admirarlo todo, imposible, es mejor caminar por todo el lugar para apreciar cada proyección en cada rincón, en los muros en el piso, incluso en dos pequeñas albercas que también proyectan imágenes. Lo recomiendo ampliamente en su visita a París!",Gabriel l
3546,Una maravilla,"Preciosa experiencia. No estaba muy convencida al principio, pero lo cierto es que logran hacer una exposición muy dinámica, envolvente e interesante. Si vuelvo por París sin duda volveré.",Tris Mabel
3547,Quedé maravillado!,"Asistí al espectáculo ""La nuit étoilée"" sobre Vincent van Gogh. Qué maravilla! 32 minutos inmerso en el mundo de este increíble artista. La experiencia asombra, maravilla, instruye y emociona. Es única y difícil de describir.La venta de entradas se hace exclusivamente por Internet, ya que se necesita una franja horaria para visitar el espacio. ",errthu
3548,Muy buena experiencia para los sentidos,"El lugar está muy bien, la muestra que vimos fué la de Vincent van Gogh. Es un experiencia única, muy linda. La música, la calidad de las imágenes, está todo muy bien. Los chicos también lo disfrutan que no es menor. Les recomiendo que se cambien de lugar cada tanto ya que cambia la perceptiva y no dejen de ir a la parte superior ya que se aprecia de una forma bastante distinta. En resumen muy bueno.",ctaracena
3549,Muy lindo pero falta organización! ,"Me gusto mucho el show, pero no pude disfrutarlo del todo porque había demasiada gente. No se respeta el horario del ticket, por ende se superponen los grupos. Todos están sentados y tapan las proyecciones, no se puede hacer caminando porque está obstaculizado el paso ",eap990
3550,"Un gran cine, al fin y al cabo","Es una única pero enorme sala de techos altos donde proyectan de manera ininterrumpida imágenes de cuadros, sobretodo impresionistas, a ritmo de la música.  Dura unos 40-45 minutos más o menos. La reacción inicial es de sorpresa y maravilla. Es muy impresionante verse envuelto de luces preciosas por todos lados. Sin embargo, al cabo del rato se hace un poco pobre y repetitivo. Te relajas tanto que yo y mi hijo nos dormimos unos segundos. Seguro que no fuimos los únicos. Debería haber más salas o un itinerario definido para irse moviendo. En cambio, la gente acaba sentándose donde puede y mirando la proyección, como si fuera un cine Imax. No está mal, pero me pareció desaprovechado.",pedro jose c
3551,Visita decepcionante,"La idea es buena, la técnica de proyeccion de las imagenes de cuadros es impresionante y la musica muy agradable.Podria haber sido una experiencia muy agradable y no lo fue por una mala organización.Si hay una reserva horaria porque no se vacia la sala? En epoca de post-confinamiento esperabamos encontrarnos con mucha menos gente. La gente se queda de una proyeccion a la siguiente. La direccion podria exigir que la sala se vacie cada hora y seria mucho mas agradable para todos.Y otra posibilidad de mejora seria la opcion con niños y sin niños. O con niños mayores de una cierta edad (por ej:10 años). Para mi fue muy desagradable aguantar los niños bailando y gritando a mi alrededor que no me permitieron disfrutar de la musica. Hay carteles donde se precisa que hay que guardar silencio y no se permite comer dentro y ninguna de las dos cosas fueron respetadas por los grupos de padres con niños.Una pena!",marcela256
3552,Wow,"Muy lindo y  diferente admirar el arte de otra manera.Buena experiencia para los niños, el movimiento y las luces lo hacen muy divertido",MarisaTortugas
3553,El oro de klimt,"Si quereis conocer al pintor y su obra , buscar en internet , se aprende mas . Exposicion pobre , mucho bombo a unos pocos cuadros y omision total al resto. No encontre mis cuadros preferidos.Lo mejor la música.Decepcion absoluta",Marian
3554,Maravilloso!,"Visité la muestra de Van Gogh junto a mi hijo de 9 años. Simplemente maravillosa! La disfrutamos mucho en un ambiente distendido, inmersivo, con imágenes y música geniales. Sin dudas, no se lo pierdan! Eso si, vayan con tiempo; vale la pena!",aandrade
3555,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
3556,Bien pero...,"La exposición muy bien, lo que esperaba.. dura como 20 min .. comienza a los :00 y :30, cada hora, y hacen dos diferentes, así qué hay que estar ahí 1 hr para ver todo. Lo único malo fue la atención, se nota que ya están artos de tanta gente .. ",Sieresobesoapechugas
3557,Impresionante ,"Acudí movido por las opiniones que había leído al respecto y no me defraudó. La única pega que le pongo es que al permitir la entrada del público en cualquier momento, se producen algunas distracciones que dificultan la inmersión. También, aunque creo que lo ideal es disfrutar caminando por la sala, se dificulta esto por las distracciones de los niños correteando por la sala (esto n9 es culpa de la organización sino de los padres de los mismos)En definitiva, muy recomendable aunque yo pondría un límite para no permitir entrar mientras se está desarrollando la exhibición ",GonzaloS
3558,Una experiencia diferente,"Para tener una experiencia de arte diferente y contemporánea, este es el lugar. La percepción que se puede tener al ver las obras de artistas como Van Gogh proyectadas en una escala a la que no estamos acostumbrados a ver, es una inmersión diferente en el arte. El acompañamiento de música y un amplio espacio hace de la exposición algo original. Puede llegar todo tipo de público interesado en los artistas expuestos, desde niños hasta gente mayor. Hay espacio para sentarse, para ver desde arriba, en un cuarto de espejos, tirado en el suelo o corriendo alrededor como lo hacen algunos niños. Vale la pena verla.",bako1973
3559,Espectacular!!!!!,"Tenía programada visita a Paris para las fechas en que estaba la exibición de la obra de Van Gogh y por supuesto la aproveché. Como sorpresa llevamos allí a unas familiarias que no tenían ni idea de lo que iban a ver y quedaron aún más maravilladas que nosotoros. La atención de la sale estupenda, llegamos con un poco de antelación y nos dejaron pasar sin problema y tampoco te ponían un tiempo límite para salir. El recinto dispone de taquillas gratuitas para que no estes cargando con los abrigos. La exposición espectacular, todos quedamos encantados, si tenéis ocasión no la desaprovechéis.",Carolina G
3560,EXHIBICIÓN MUY DIFERENTE DE LA OBRA DE VAN GOGH,Un lugar excelente para presentaciones muy diferentes. Situado en sector céntrico. Las exhibiciones de los diferentes artistas se aprecian de forma única y agradable.,Natàlia Q
3561,Alucinante muestra inmersiva," Una muestra inmersiva alucinante, con imágenes de las obras de Van Gogh que evolucionan a partir de una música impactante. Eriza la piel y es una manera diferente de acercarse a las obras de grandes artistas.",L&L75
3562,Importante centro artístico,"El Atelier des Lumiere está situado entre La Bastille y Nation es una anciana fábrica en el 10 arrondissement. Se exponen exposiciones monumentales con videoproyecciones y sonidos Este año fue dedicado a Van Gogh excelente y majestuoso.Un momento maravilloso apreciar la obra de este excelente pintor, en este tipo de manifestación con vídeo proyecciones y una sonorización única.Lo recomiendo es imperdible.",erica vera
3563,Muestra Klimt,"Me encanto! Una muestra distinta, proyección de las obras de Klimt y Schielle. Muy buena calidad. Muy fácil llegar con el metro.",Ana Maria V
3564,Increíble experiencia,"Totalmente inmersivo, vives el arte de manera poco convencional y ahí es donde está la maravilla de este lugar, sublime combinación entre lo visual y lo auditivo.",Florencia P
3565,"Atelier des Lumières,,, sublime!!","Arte inmersivo, maravilloso! Estuve en la exposición de Van Gogh, simplemente fue maravillosa, el sonido te envuelve y la forma como le dieron vida a las pinturas fue maravillosa, estando dentro, no se puede elegir un lugar fijo para admirarlo todo, imposible, es mejor caminar por todo el lugar para apreciar cada proyección en cada rincón, en los muros en el piso, incluso en dos pequeñas albercas que también proyectan imágenes. Lo recomiendo ampliamente en su visita a París!",Gabriel l
3566,Una maravilla,"Preciosa experiencia. No estaba muy convencida al principio, pero lo cierto es que logran hacer una exposición muy dinámica, envolvente e interesante. Si vuelvo por París sin duda volveré.",Tris Mabel
3567,Quedé maravillado!,"Asistí al espectáculo ""La nuit étoilée"" sobre Vincent van Gogh. Qué maravilla! 32 minutos inmerso en el mundo de este increíble artista. La experiencia asombra, maravilla, instruye y emociona. Es única y difícil de describir.La venta de entradas se hace exclusivamente por Internet, ya que se necesita una franja horaria para visitar el espacio. ",errthu
3568,Muy buena experiencia para los sentidos,"El lugar está muy bien, la muestra que vimos fué la de Vincent van Gogh. Es un experiencia única, muy linda. La música, la calidad de las imágenes, está todo muy bien. Los chicos también lo disfrutan que no es menor. Les recomiendo que se cambien de lugar cada tanto ya que cambia la perceptiva y no dejen de ir a la parte superior ya que se aprecia de una forma bastante distinta. En resumen muy bueno.",ctaracena
3569,Muy lindo pero falta organización! ,"Me gusto mucho el show, pero no pude disfrutarlo del todo porque había demasiada gente. No se respeta el horario del ticket, por ende se superponen los grupos. Todos están sentados y tapan las proyecciones, no se puede hacer caminando porque está obstaculizado el paso ",eap990
3570,"Un gran cine, al fin y al cabo","Es una única pero enorme sala de techos altos donde proyectan de manera ininterrumpida imágenes de cuadros, sobretodo impresionistas, a ritmo de la música.  Dura unos 40-45 minutos más o menos. La reacción inicial es de sorpresa y maravilla. Es muy impresionante verse envuelto de luces preciosas por todos lados. Sin embargo, al cabo del rato se hace un poco pobre y repetitivo. Te relajas tanto que yo y mi hijo nos dormimos unos segundos. Seguro que no fuimos los únicos. Debería haber más salas o un itinerario definido para irse moviendo. En cambio, la gente acaba sentándose donde puede y mirando la proyección, como si fuera un cine Imax. No está mal, pero me pareció desaprovechado.",pedro jose c
3571,Visita decepcionante,"La idea es buena, la técnica de proyeccion de las imagenes de cuadros es impresionante y la musica muy agradable.Podria haber sido una experiencia muy agradable y no lo fue por una mala organización.Si hay una reserva horaria porque no se vacia la sala? En epoca de post-confinamiento esperabamos encontrarnos con mucha menos gente. La gente se queda de una proyeccion a la siguiente. La direccion podria exigir que la sala se vacie cada hora y seria mucho mas agradable para todos.Y otra posibilidad de mejora seria la opcion con niños y sin niños. O con niños mayores de una cierta edad (por ej:10 años). Para mi fue muy desagradable aguantar los niños bailando y gritando a mi alrededor que no me permitieron disfrutar de la musica. Hay carteles donde se precisa que hay que guardar silencio y no se permite comer dentro y ninguna de las dos cosas fueron respetadas por los grupos de padres con niños.Una pena!",marcela256
3572,Wow,"Muy lindo y  diferente admirar el arte de otra manera.Buena experiencia para los niños, el movimiento y las luces lo hacen muy divertido",MarisaTortugas
3573,El oro de klimt,"Si quereis conocer al pintor y su obra , buscar en internet , se aprende mas . Exposicion pobre , mucho bombo a unos pocos cuadros y omision total al resto. No encontre mis cuadros preferidos.Lo mejor la música.Decepcion absoluta",Marian
3574,Maravilloso!,"Visité la muestra de Van Gogh junto a mi hijo de 9 años. Simplemente maravillosa! La disfrutamos mucho en un ambiente distendido, inmersivo, con imágenes y música geniales. Sin dudas, no se lo pierdan! Eso si, vayan con tiempo; vale la pena!",aandrade
3575,Una actividad distinta,"Nos gustó.  Consta de tres proyecciones Dos cortas y una larga qué es la más interesante. El mejor lugar pará verlo es sobre un balcón en el primer piso (se sube por escalera). El acceso es ágil tiene guarda bultos gratis y baños a la entrada. El boleto cuesta 14,5 euros y si bien en la página dice qué sólo sé puede comprar por internet hay boletería en el lugar. Los fines de semana es difícil conseguir lugar. Nos gustó una experiencia distinta a un precio razonable.",Flandes18
